1,0.0004205,1,0.0008398,1,0.000807,1,0.0001251,1,0.001848,1,0.0009854,1,0.001549,1,0.0007047,1,0.001113,1,0.001668,1,0.0007513,1,0.00128,1,0.001472,1,0.0006677,1,0.0009519,1,0.0007641,1,0.00124,1,0.0007552,1,0.0008189,1,0.0002445,1,0.0002808,1,0.0008205,1,0.000438,1,0.0004945,1,0.001162,1,0.0008636,1,0.0003246,1,0.0004523,1,0.001317,1,0.0005518
2,0.0004409,2,0.0005721,2,0.001074,2,0.0001258,2,0.00172,2,0.0009134,2,0.001354,2,0.0006134,2,0.0008234,2,0.001518,2,0.0007415,2,0.001585,2,0.001329,2,0.0008147,2,0.0007186,2,0.0006496,2,0.001185,2,0.0007538,2,0.000758,2,0.0003619,2,0.0004651,2,0.0007388,2,0.0006055,2,0.0003513,2,0.001152,2,0.0008576,2,0.000457,2,0.0004963,2,0.001134,2,0.0004466
3,0.0003783,3,0.0005666,3,0.000939,3,0.0001448,3,0.001636,3,0.0009647,3,0.001064,3,0.0008169,3,0.000879,3,0.001396,3,0.00082,3,0.001704,3,0.001081,3,0.0008806,3,0.001217,3,0.0006977,3,0.001255,3,0.0005535,3,0.0006214,3,0.0003294,3,0.0006647,3,0.0008017,3,0.0006142,3,0.0002814,3,0.0007494,3,0.0008194,3,0.0004594,3,0.0004988,3,0.00114,3,0.0003238
4,0.0002543,4,0.0004534,4,0.0007536,4,0.0001512,4,0.001479,4,0.001044,4,0.0008497,4,0.0008113,4,0.001071,4,0.001292,4,0.0008599,4,0.001811,4,0.0009757,4,0.001126,4,0.001372,4,0.000694,4,0.001169,4,0.0004236,4,0.000356,4,0.000176,4,0.0007485,4,0.0008232,4,0.0005117,4,0.0002839,4,0.0007128,4,0.0009472,4,0.000701,4,0.0003093,4,0.001145,4,0.0001528
5,0.0002732,5,0.0004152,5,0.001021,5,0.0002133,5,0.00136,5,0.001095,5,0.0009412,5,0.0009025,5,0.001277,5,0.001336,5,0.0008983,5,0.002107,5,0.001053,5,0.001398,5,0.001146,5,0.0006758,5,0.001166,5,0.0003097,5,0.0003352,5,0.0001629,5,0.0008832,5,0.001341,5,0.0006521,5,0.0002554,5,0.0006823,5,0.0009646,5,0.0009496,5,0.0005016,5,0.001306,5,0.00001515
6,0.0004698,6,0.0007841,6,0.001222,6,0.0005595,6,0.001359,6,0.001084,6,0.0007758,6,0.001121,6,0.001521,6,0.001451,6,0.0007145,6,0.002354,6,0.0009561,6,0.001777,6,0.001346,6,0.0009089,6,0.001281,6,0.0002053,6,0.000784,6,0.000341,6,0.001017,6,0.001499,6,0.0005995,6,0.0003877,6,0.0004855,6,0.0009464,6,0.001267,6,0.0007803,6,0.001454,6,0.0003076
7,0.0006435,7,0.001042,7,0.001432,7,0.001109,7,0.001879,7,0.001507,7,0.0008169,7,0.00135,7,0.002195,7,0.001877,7,0.0008699,7,0.002718,7,0.001293,7,0.002433,7,0.001933,7,0.001497,7,0.001299,7,0.0003999,7,0.001368,7,0.0004855,7,0.001456,7,0.001893,7,0.0009481,7,0.0005825,7,0.0005989,7,0.001069,7,0.001594,7,0.001056,7,0.002056,7,0.0006092
8,0.0007718,8,0.001574,8,0.001922,8,0.001856,8,0.002341,8,0.002024,8,0.001241,8,0.00195,8,0.002638,8,0.002661,8,0.0009445,8,0.002721,8,0.001719,8,0.003206,8,0.002437,8,0.002204,8,0.001457,8,0.0007327,8,0.002292,8,0.001048,8,0.001898,8,0.002638,8,0.001538,8,0.0007181,8,0.001264,8,0.001825,8,0.001973,8,0.001811,8,0.002507,8,0.00122
9,0.001451,9,0.002149,9,0.002995,9,0.002983,9,0.002941,9,0.002682,9,0.001928,9,0.002739,9,0.003345,9,0.003726,9,0.001411,9,0.003648,9,0.002299,9,0.004444,9,0.003236,9,0.003492,9,0.001774,9,0.001385,9,0.003294,9,0.001632,9,0.002683,9,0.003419,9,0.002492,9,0.001152,9,0.002131,9,0.002667,9,0.002761,9,0.002648,9,0.003396,9,0.002374
10,0.002572,10,0.003003,10,0.004249,10,0.004286,10,0.003807,10,0.003776,10,0.003017,10,0.003905,10,0.00484,10,0.005093,10,0.002103,10,0.004441,10,0.002881,10,0.005639,10,0.00419,10,0.004893,10,0.002553,10,0.002301,10,0.004609,10,0.002674,10,0.003892,10,0.004592,10,0.003788,10,0.001947,10,0.002966,10,0.00378,10,0.00391,10,0.003732,10,0.004582,10,0.003864
