1,-0.0001779,1,-0.0002489,1,-0.0004724,1,-0.00003916,1,-0.0003056,1,-0.00006489,1,-0.00008647,1,-0.00006783,1,0.00002411,1,-0.0001638,1,-0.0003846,1,-0.0001835,1,-0.00013,1,-0.0002625,1,-0.000292,1,-0.0001214,1,6.57E-06,1,-0.0001675,1,-0.0001108,1,-0.0001283,1,-0.0001779,1,-5.57E-06,1,-0.00006394
2,-0.0002496,2,-0.0002118,2,-0.0002366,2,0.00001715,2,-0.0002588,2,0.00001595,2,-0.0001219,2,-0.0001337,2,0.00004068,2,-0.0001986,2,-0.0002569,2,-0.00006049,2,-0.0003281,2,-0.0001847,2,-0.0001708,2,-0.0001293,2,-0.0001191,2,-0.00003356,2,-0.0002242,2,-0.0002224,2,-0.0001778,2,-0.00007124,2,-0.0001164
3,-0.0002545,3,-0.000281,3,-0.0003828,3,-0.00007962,3,-0.00001249,3,0.0000599,3,-0.0001086,3,-0.0001477,3,0.0002298,3,0.0001305,3,-0.0003715,3,-0.00011,3,-0.0003073,3,-0.0002899,3,-0.0002445,3,-0.0002277,3,-0.0001588,3,0.00003133,3,-0.00006993,3,-0.00006135,3,-0.000272,3,-0.0001061,3,-0.0001037
4,-0.0002358,4,-0.0003429,4,-0.0003204,4,-0.0001966,4,0.00001478,4,0.00004453,4,-0.0001287,4,-0.0000775,4,0.0002047,4,0.00004313,4,-0.0003782,4,0.00001717,4,-0.0002342,4,-0.0002376,4,-0.0002341,4,-0.000179,4,-0.0002504,4,-3.60E-06,4,-0.00004272,4,-2.84E-06,4,-0.0001168,4,-0.0001169,4,-0.0001806
5,-0.0004181,5,-0.0001869,5,-0.0004299,5,-0.00005522,5,-0.00002037,5,0.00004463,5,-0.0001233,5,-0.0001942,5,-0.00001481,5,-0.0001043,5,-0.0003823,5,-0.000026,5,-0.0001472,5,-0.0002864,5,-0.0002674,5,-0.0002224,5,-0.00008284,5,-0.00013,5,-0.0001776,5,-0.0001416,5,-0.0001621,5,-0.00006645,5,0.00008445
6,-0.0003893,6,-0.0002665,6,-0.0001967,6,-7.64E-06,6,-0.00004687,6,-0.000014,6,-0.0001666,6,-0.0001291,6,0.0001704,6,0.00004923,6,-0.0003753,6,-0.0001664,6,-0.00009932,6,-0.0002975,6,-0.0002529,6,-0.0001791,6,-0.00001449,6,-0.00006604,6,0.00012,6,-0.00002604,6,-0.0003171,6,-0.000105,6,-0.00008739
7,-0.0001177,7,-0.0002527,7,-0.0001848,7,-0.0000725,7,-0.0001021,7,-8.66E-06,7,-0.00006956,7,-0.0002432,7,0.0001561,7,0.00001605,7,-0.0002392,7,0.0001313,7,-0.0001456,7,-0.0004338,7,-0.0001321,7,-0.000176,7,-0.0001485,7,-0.000109,7,-2.44E-06,7,-0.00001777,7,-0.0001323,7,-0.0000673,7,-0.00001601
8,-0.0003709,8,-0.0001711,8,-0.0003456,8,-0.0000563,8,-0.0002069,8,-0.00008591,8,0.00008725,8,-0.0002466,8,0.0002847,8,0.00006197,8,-0.0001119,8,0.0001577,8,-0.0001661,8,-0.0004355,8,-0.0001048,8,-0.0002574,8,-3.99E-07,8,-0.0001653,8,-0.000087,8,-0.00004936,8,-0.0001057,8,0.00002973,8,0.00008797
9,-0.0003032,9,-2.25E-06,9,-0.0003828,9,0.0001104,9,-5.27E-06,9,-0.00006262,9,0.0000111,9,-3.62E-06,9,0.0003621,9,0.0004578,9,-0.0001433,9,-0.00005931,9,0.00001827,9,-0.000312,9,0.00007239,9,-0.0001705,9,0.0003967,9,-0.00008996,9,-0.0001114,9,0.00003754,9,-0.00004031,9,0.0000895,9,-0.00003167
10,0.0001196,10,0.0001381,10,-0.0001429,10,0.000252,10,0.0002201,10,0.0001924,10,0.0002337,10,0.000113,10,0.0004627,10,0.000708,10,1.81E-06,10,0.0002686,10,0.0001605,10,-0.00009879,10,0.00038,10,0.0002202,10,0.0006062,10,0.0001001,10,0.00008005,10,0.00009182,10,0.0001945,10,0.0002064,10,0.0003809
