1,-0.002049,1,-0.001659,1,-0.002628,1,-0.002679,1,-0.00158,1,-0.002434,1,-0.002454,1,-0.001672,1,-0.0008882,1,-0.001973,1,-0.001752,1,-0.001959,1,-0.001786,1,-0.002058,1,-0.001869,1,-0.001077,1,-0.001998,1,-0.001926,1,-0.002572,1,-0.002073,1,-0.001892,1,-0.001953,1,-0.001727,1,-0.001727,1,-0.001372,1,-0.002,1,-0.002455,1,-0.002255
2,-0.001984,2,-0.001862,2,-0.002615,2,-0.002681,2,-0.001639,2,-0.002376,2,-0.002512,2,-0.001704,2,-0.0008282,2,-0.00196,2,-0.001466,2,-0.002006,2,-0.001829,2,-0.002218,2,-0.001782,2,-0.001177,2,-0.002012,2,-0.001934,2,-0.002867,2,-0.001817,2,-0.001826,2,-0.001914,2,-0.001878,2,-0.001878,2,-0.001429,2,-0.002133,2,-0.002514,2,-0.001941
3,-0.002174,3,-0.002145,3,-0.002667,3,-0.002503,3,-0.001672,3,-0.002105,3,-0.002022,3,-0.0019,3,-0.0008117,3,-0.002041,3,-0.00188,3,-0.001947,3,-0.001939,3,-0.002358,3,-0.001886,3,-0.001328,3,-0.001917,3,-0.001965,3,-0.002749,3,-0.001604,3,-0.001774,3,-0.001664,3,-0.001961,3,-0.001961,3,-0.00146,3,-0.002143,3,-0.002467,3,-0.001891
4,-0.002406,4,-0.001879,4,-0.002605,4,-0.00275,4,-0.001898,4,-0.002067,4,-0.001954,4,-0.002049,4,-0.001138,4,-0.001998,4,-0.001981,4,-0.001942,4,-0.002179,4,-0.002473,4,-0.001757,4,-0.001444,4,-0.001931,4,-0.002018,4,-0.002751,4,-0.001839,4,-0.001695,4,-0.00202,4,-0.001938,4,-0.001938,4,-0.001739,4,-0.002158,4,-0.002407,4,-0.001738
5,-0.002345,5,-0.001799,5,-0.00252,5,-0.002817,5,-0.002063,5,-0.001952,5,-0.001876,5,-0.002068,5,-0.001313,5,-0.001787,5,-0.002058,5,-0.001981,5,-0.002305,5,-0.002399,5,-0.001794,5,-0.001729,5,-0.001869,5,-0.002167,5,-0.002609,5,-0.001753,5,-0.00197,5,-0.002126,5,-0.001901,5,-0.001901,5,-0.001922,5,-0.001982,5,-0.00258,5,-0.001765
6,-0.002194,6,-0.002018,6,-0.002248,6,-0.002418,6,-0.001803,6,-0.001634,6,-0.001838,6,-0.002003,6,-0.0014,6,-0.001763,6,-0.002037,6,-0.001953,6,-0.002232,6,-0.0023,6,-0.001745,6,-0.001811,6,-0.001711,6,-0.0024,6,-0.002463,6,-0.001866,6,-0.001554,6,-0.001963,6,-0.001911,6,-0.001911,6,-0.002042,6,-0.001987,6,-0.002493,6,-0.001721
7,-0.002247,7,-0.00183,7,-0.002041,7,-0.002487,7,-0.00167,7,-0.001583,7,-0.002104,7,-0.001938,7,-0.00116,7,-0.001749,7,-0.001853,7,-0.001837,7,-0.002195,7,-0.002252,7,-0.00151,7,-0.001873,7,-0.001641,7,-0.002138,7,-0.002154,7,-0.001897,7,-0.001791,7,-0.001904,7,-0.001596,7,-0.001596,7,-0.00226,7,-0.001905,7,-0.002052,7,-0.001589
8,-0.001742,8,-0.001543,8,-0.001722,8,-0.002182,8,-0.001452,8,-0.001637,8,-0.001717,8,-0.001472,8,-0.0008783,8,-0.001594,8,-0.001616,8,-0.001355,8,-0.00199,8,-0.001865,8,-0.001287,8,-0.00159,8,-0.001309,8,-0.001598,8,-0.001741,8,-0.001699,8,-0.001551,8,-0.001653,8,-0.001145,8,-0.001145,8,-0.002172,8,-0.001581,8,-0.00166,8,-0.001281
9,-0.001228,9,-0.00106,9,-0.001331,9,-0.001773,9,-0.000663,9,-0.001206,9,-0.001516,9,-0.0009706,9,-0.0006403,9,-0.001306,9,-0.00118,9,-0.001288,9,-0.001664,9,-0.001242,9,-0.0009653,9,-0.001262,9,-0.0007609,9,-0.00119,9,-0.001205,9,-0.0013,9,-0.00093,9,-0.001348,9,-0.0005898,9,-0.0005898,9,-0.002097,9,-0.001174,9,-0.0009399,9,-0.0009188
10,-0.0003817,10,-0.0004423,10,-0.0005155,10,-0.001196,10,0.0006137,10,-0.0007987,10,-0.0005822,10,-0.0003517,10,-0.0001206,10,-0.0006416,10,-0.0005247,10,-0.0008401,10,-0.0008734,10,-0.0007958,10,-0.000296,10,-0.0005309,10,-0.00029,10,-0.0005287,10,-0.0006094,10,-0.0006792,10,-0.0002476,10,-0.0008596,10,0.0003702,10,0.0003702,10,-0.001248,10,-0.0005297,10,-0.0001881,10,-0.0005752
11,0.0006746,11,0.000146,11,0.0001938,11,-0.000433,11,0.001272,11,-0.00009819,11,0.0004597,11,0.0005323,11,0.0006976,11,0.00001158,11,0.0000501,11,-0.0001866,11,0.0001858,11,0.0001963,11,0.0009349,11,0.0003318,11,0.00026,11,0.0004391,11,0.0005638,11,0.0003257,11,0.0008478,11,0.000158,11,0.001454,11,0.001454,11,-0.0004319,11,0.0003259,11,0.0008599,11,0.0001574
12,0.0016,12,0.0008831,12,0.00108,12,0.0003087,12,0.002131,12,0.0008948,12,0.001447,12,0.001415,12,0.001348,12,0.000906,12,0.000595,12,0.0006384,12,0.001344,12,0.001038,12,0.001855,12,0.001242,12,0.001006,12,0.001403,12,0.001442,12,0.001519,12,0.002128,12,0.000982,12,0.002349,12,0.002349,12,0.0006599,12,0.001008,12,0.001722,12,0.0008112
13,0.002557,13,0.001293,13,0.001903,13,0.0009433,13,0.002919,13,0.001968,13,0.002075,13,0.002061,13,0.002206,13,0.001613,13,0.001554,13,0.001558,13,0.002466,13,0.001671,13,0.002733,13,0.001801,13,0.001811,13,0.002388,13,0.002381,13,0.002441,13,0.002929,13,0.002002,13,0.003205,13,0.003205,13,0.001517,13,0.001698,13,0.002438,13,0.001407
14,0.003185,14,0.001743,14,0.002384,14,0.001515,14,0.003306,14,0.002643,14,0.002731,14,0.002581,14,0.002822,14,0.002081,14,0.001979,14,0.0021,14,0.003,14,0.002223,14,0.003332,14,0.002201,14,0.002461,14,0.002941,14,0.003225,14,0.003155,14,0.003352,14,0.002766,14,0.003864,14,0.003864,14,0.002225,14,0.002071,14,0.002761,14,0.002033
