1,-76.5337,1,-60.9707,1,-37.0322,1,-67.8623,1,-56.4331,1,-60.1889,1,-61.175,1,-56.1649,1,-56.6427,1,-52.3648,1,-63.6212,1,-62.1749,1,-81.1639,1,-73.4127,1,-64.2525,1,-72.459,1,-66.9966,1,-64.0238,1,-84.9963,1,-70.0867,1,-64.996,1,-74.0057,1,-69.1028,1,-51.0473,1,-59.4979,1,-55.2893,1,-53.2086,1,-64.305,1,-68.2381,1,-73.4064,1,-67.9654,1,-64.5973,1,-86.208,1,-57.7431,1,-44.8153,1,-61.4521,1,-56.5891,1,-61.7749,1,-64.6887,1,-64.5422,1,-56.1367,1,-72.36,1,-57.3913,1,-71.5452,1,-51.9024,1,-68.5732,1,-67.3055,1,-70.1047,1,-69.8703,1,-67.7717,1,-54.2799,1,-67.6329,1,-47.9184,1,-61.069,1,-59.0412,1,-48.5425,1,-64.6088,1,-71.8978,1,-64.5262,1,-68.0061,1,-59.1503,1,-54.7615,1,-68.7747,1,-57.9706,1,-63.9592,1,-59.2362,1,-75.7705,1,-62.4823,1,-54.8774,1,-55.4984,1,-54.771,1,-70.7587,1,-45.0827,1,-63.5445,1,-61.9592,1,-63.44,1,-45.2432,1,-47.6378,1,-58.8603,1,-61.2206,1,-60.1535,1,-37.4765,1,-81.4527,1,-72.6402,1,-31.7605,1,-56.1759,1,-74.972,1,-45.1903,1,-71.5239,1,-46.7394,1,-58.3069,1,-62.6738,1,-40.5644,1,-57.065,1,-42.5158,1,-62.0591,1,-71.675,1,-65.2486,1,-69.85,1,-59.341
2,-72.5344,2,-63.1997,2,-36.5328,2,-68.3632,2,-62.3868,2,-57.4029,2,-60.6366,2,-65.1862,2,-61.5967,2,-47.3647,2,-67.8256,2,-62.0535,2,-80.2846,2,-74.3405,2,-68.4411,2,-69.5507,2,-74.7762,2,-69.0688,2,-78.1435,2,-74.6042,2,-65.9356,2,-65.0723,2,-73.4755,2,-57.6696,2,-64.2605,2,-57.7458,2,-59.3232,2,-69.1271,2,-66.4052,2,-69.5147,2,-70.6768,2,-66.873,2,-83.0306,2,-54.6187,2,-49.1513,2,-68.6279,2,-53.972,2,-64.6662,2,-63.1827,2,-60.8905,2,-52.5915,2,-78.8681,2,-53.1236,2,-66.5036,2,-48.8366,2,-68.383,2,-72.0794,2,-65.6454,2,-64.8278,2,-63.3885,2,-61.6141,2,-64.5247,2,-40.7517,2,-61.6501,2,-59.9963,2,-50.0762,2,-61.6603,2,-72.4498,2,-62.7777,2,-69.3308,2,-56.2087,2,-53.1982,2,-65.4051,2,-59.1651,2,-62.9216,2,-54.6823,2,-67.719,2,-62.3148,2,-61.0346,2,-48.9056,2,-56.9251,2,-72.9852,2,-37.3288,2,-71.7632,2,-64.9758,2,-66.1554,2,-52.8066,2,-52.9802,2,-53.7381,2,-55.9691,2,-63.5059,2,-36.7459,2,-76.3844,2,-72.082,2,-30.6513,2,-54.2718,2,-67.4156,2,-40.019,2,-66.383,2,-46.0529,2,-59.2163,2,-63.9426,2,-44.6187,2,-60.4773,2,-43.9087,2,-60.299,2,-61.8519,2,-59.0396,2,-72.6828,2,-58.8518
3,-71.9219,3,-67.2231,3,-38.064,3,-71.1968,3,-65.936,3,-56.8112,3,-62.381,3,-69.856,3,-66.3752,3,-40.6624,3,-65.9837,3,-61.0338,3,-74.6755,3,-71.6768,3,-68.3571,3,-62.8296,3,-75.5859,3,-68.012,3,-74.704,3,-75.3162,3,-72.2312,3,-55.7974,3,-76.4998,3,-63.5,3,-61.9878,3,-63.688,3,-70.6064,3,-74.2307,3,-63.9883,3,-72.6217,3,-64.1057,3,-65.5445,3,-79.285,3,-55.783,3,-57.9414,3,-70.0245,3,-50.6447,3,-68.5037,3,-64.5178,3,-59.4432,3,-58.1854,3,-81.3387,3,-50.3887,3,-65.3735,3,-44.9013,3,-60.6301,3,-74.3475,3,-63.2757,3,-60.729,3,-63.5091,3,-60.4629,3,-62.549,3,-38.1665,3,-63.732,3,-56.4942,3,-53.9673,3,-61.7382,3,-74.8738,3,-58.5982,3,-67.6191,3,-53.1557,3,-60.2467,3,-52.3943,3,-64.4044,3,-66.6194,3,-53.1921,3,-61.9285,3,-65.0576,3,-59.804,3,-43.0468,3,-56.5134,3,-79.9231,3,-33.8674,3,-71.1946,3,-63.6946,3,-59.853,3,-59.9247,3,-53.8812,3,-59.1276,3,-53.1119,3,-68.3095,3,-39.4131,3,-70.2365,3,-72.7839,3,-37.4798,3,-61.4466,3,-57.2111,3,-41.7471,3,-57.8187,3,-48.7927,3,-59.9934,3,-72.1302,3,-48.0106,3,-62.3221,3,-43.8253,3,-57.5295,3,-54.2758,3,-55.734,3,-73.9,3,-56.356
4,-72.0565,4,-69.0934,4,-40.4225,4,-74.9017,4,-66.7894,4,-52.8451,4,-64.3242,4,-67.6812,4,-68.6167,4,-47.0241,4,-64.3111,4,-61.6973,4,-70.1424,4,-68.1488,4,-64.4114,4,-58.3495,4,-71.6679,4,-65.7003,4,-71.0472,4,-72.0723,4,-74.3542,4,-56.5944,4,-79.8694,4,-63.9588,4,-58.9646,4,-66.6978,4,-72.7343,4,-80.7356,4,-69.4312,4,-76.8038,4,-58.4109,4,-62.4007,4,-76.7875,4,-60.876,4,-65.8959,4,-64.8695,4,-49.2463,4,-67.5698,4,-73.0081,4,-62.8722,4,-62.7317,4,-80.1473,4,-51.4703,4,-72.337,4,-42.83,4,-51.6487,4,-75.7129,4,-62.9042,4,-59.7686,4,-64.9711,4,-57.7507,4,-61.4465,4,-39.6877,4,-64.4704,4,-54.4824,4,-51.3674,4,-60.9275,4,-79.9474,4,-59.4895,4,-67.256,4,-49.602,4,-65.73,4,-47.5694,4,-67.4858,4,-68.5953,4,-62.4634,4,-61.6269,4,-65.0746,4,-54.8972,4,-44.2385,4,-56.1611,4,-85.888,4,-37.4623,4,-68.5587,4,-59.4243,4,-57.9042,4,-52.0755,4,-54.16,4,-65.7014,4,-51.4144,4,-68.8714,4,-41.0273,4,-66.1401,4,-70.3422,4,-50.8511,4,-70.9496,4,-49.754,4,-45.4026,4,-54.1076,4,-56.8237,4,-59.7757,4,-78.6739,4,-52.7301,4,-64.4652,4,-43.0754,4,-52.5102,4,-57.6589,4,-55.3263,4,-75.2149,4,-55.2245
5,-70.4639,5,-66.3296,5,-39.9747,5,-78.2806,5,-67.2859,5,-50.753,5,-61.9197,5,-65.3194,5,-73.1842,5,-55.0509,5,-67.4537,5,-62.8309,5,-69.1253,5,-64.2663,5,-60.5172,5,-51.7633,5,-69.9564,5,-62.5465,5,-64.6359,5,-66.8966,5,-69.7722,5,-61.6405,5,-79.1741,5,-62.7437,5,-55.4244,5,-63.9027,5,-69.7456,5,-85.9069,5,-77.2682,5,-77.1346,5,-54.0799,5,-63.801,5,-75.146,5,-63.2441,5,-70.3855,5,-53.4884,5,-54.4633,5,-62.1245,5,-79.2924,5,-65.5887,5,-65.5532,5,-76.2751,5,-55.2113,5,-78.8875,5,-45.5728,5,-47.7135,5,-74.6752,5,-65.3335,5,-62.6178,5,-65.9514,5,-63.5195,5,-55.7999,5,-41.0828,5,-62.049,5,-57.4842,5,-53.9353,5,-55.5397,5,-79.7251,5,-58.13,5,-74.9515,5,-51.7934,5,-64.1662,5,-52.9669,5,-58.317,5,-65.393,5,-69.1366,5,-66.3013,5,-64.0006,5,-49.361,5,-51.368,5,-54.6128,5,-84.0766,5,-44.5384,5,-63.1631,5,-55.0325,5,-58.3424,5,-43.0421,5,-58.4573,5,-63.3853,5,-52.2498,5,-64.09,5,-41.7513,5,-59.7846,5,-63.9984,5,-59.6989,5,-78.5245,5,-49.4748,5,-47.6452,5,-58.6864,5,-57.2729,5,-62.548,5,-79.8375,5,-61.7633,5,-65.4605,5,-43.066,5,-50.8492,5,-64.962,5,-55.1452,5,-72.3366,5,-56.3537
6,-66.055,6,-60.4671,6,-38.0682,6,-74.2707,6,-68.9519,6,-52.6248,6,-58.1963,6,-70.2302,6,-74.1691,6,-52.7246,6,-70.6133,6,-64.2903,6,-68.4799,6,-62.2819,6,-61.5659,6,-49.4246,6,-70.044,6,-59.1445,6,-61.4943,6,-60.4397,6,-62.9229,6,-65.3155,6,-72.6458,6,-63.7004,6,-49.5809,6,-59.5597,6,-67.4486,6,-81.0776,6,-76.4525,6,-75.5692,6,-51.4994,6,-69.0011,6,-67.7647,6,-65.7424,6,-73.3309,6,-48.1827,6,-57.2617,6,-55.008,6,-81.2022,6,-63.7805,6,-66.5366,6,-71.1622,6,-57.5535,6,-76.929,6,-50.4475,6,-49.0485,6,-71.225,6,-67.5219,6,-64.5114,6,-66.0817,6,-65.6321,6,-51.3525,6,-43.4432,6,-59.7928,6,-64.6955,6,-57.5899,6,-56.5546,6,-76.1416,6,-54.657,6,-76.7419,6,-56.3889,6,-62.3999,6,-61.0067,6,-50.3911,6,-61.6206,6,-70.1721,6,-66.2829,6,-63.385,6,-45.6297,6,-51.4355,6,-52.053,6,-74.7844,6,-52.5639,6,-52.3729,6,-57.9321,6,-55.8101,6,-41.6063,6,-62.2053,6,-58.763,6,-54.9708,6,-51.799,6,-42.7303,6,-56.4029,6,-59.221,6,-58.6012,6,-78.8331,6,-49.3869,6,-50.4587,6,-60.8204,6,-52.4368,6,-66.4505,6,-77.2868,6,-69.491,6,-67.9769,6,-42.0307,6,-52.883,6,-67.7069,6,-64.4803,6,-74.9164,6,-56.5078
7,-61.3593,7,-58.4635,7,-38.4071,7,-70.3798,7,-70.5256,7,-54.9032,7,-55.7508,7,-73.0316,7,-71.44,7,-46.2677,7,-67.1493,7,-66.2111,7,-69.6451,7,-62.5952,7,-68.7589,7,-56.3893,7,-71.1938,7,-62.3017,7,-67.4848,7,-56.2456,7,-55.4678,7,-67.8815,7,-66.37,7,-62.8344,7,-43.3207,7,-60.7552,7,-65.549,7,-70.1846,7,-69.9623,7,-76.7277,7,-48.3188,7,-66.8824,7,-64.5574,7,-68.0911,7,-65.3009,7,-54.4235,7,-55.0739,7,-51.9113,7,-76.596,7,-64.3858,7,-64.5638,7,-68.7137,7,-59.5168,7,-66.7162,7,-55.287,7,-51.7736,7,-71.6797,7,-69.2026,7,-62.2634,7,-64.7379,7,-65.8512,7,-53.8458,7,-44.9706,7,-64.5222,7,-62.1061,7,-60.0287,7,-62.3272,7,-67.7788,7,-51.7685,7,-72.9907,7,-58.437,7,-66.2421,7,-68.6716,7,-49.4424,7,-59.074,7,-66.9932,7,-61.6023,7,-67.2603,7,-43.2806,7,-45.8651,7,-55.1628,7,-67.5585,7,-59.3068,7,-49.7417,7,-59.1133,7,-56.2814,7,-44.255,7,-66.4332,7,-60.8789,7,-55.9226,7,-41.9563,7,-46.6589,7,-57.8556,7,-55.3235,7,-50.8382,7,-76.0877,7,-53.0621,7,-46.1201,7,-59.8883,7,-48.4503,7,-67.9996,7,-74.8351,7,-71.6917,7,-65.7495,7,-37.5959,7,-48.3305,7,-58.7088,7,-66.0233,7,-73.2307,7,-50.995
8,-56.4877,8,-58.2747,8,-37.4066,8,-67.9058,8,-68.4277,8,-55.6229,8,-59.3663,8,-74.097,8,-68.6008,8,-42.5792,8,-65.4739,8,-70.3235,8,-74.4022,8,-63.054,8,-66.772,8,-62.3557,8,-69.3394,8,-67.1149,8,-77.7243,8,-52.6098,8,-53.1789,8,-69.6323,8,-70.2088,8,-58.1735,8,-38.9082,8,-61.9137,8,-63.0737,8,-64.2939,8,-66.602,8,-77.6505,8,-46.3367,8,-64.7651,8,-66.323,8,-67.408,8,-62.7954,8,-60.659,8,-54.4197,8,-52.3793,8,-73.9073,8,-65.6856,8,-61.5974,8,-72.4203,8,-52.2258,8,-55.7864,8,-61.8271,8,-50.3814,8,-75.9973,8,-71.1309,8,-63.43,8,-62.983,8,-70.4617,8,-60.2261,8,-43.5838,8,-73.0996,8,-53.8728,8,-66.2789,8,-67.4222,8,-56.658,8,-54.538,8,-66.444,8,-59.923,8,-64.2319,8,-70.0431,8,-50.6508,8,-56.9228,8,-61.221,8,-61.0414,8,-74.5647,8,-44.1075,8,-45.4899,8,-59.3647,8,-66.9029,8,-59.5116,8,-54.049,8,-51.317,8,-53.762,8,-44.3337,8,-71.066,8,-63.0025,8,-55.7299,8,-43.3337,8,-48.7929,8,-65.2083,8,-57.1096,8,-44.7119,8,-73.4819,8,-55.0449,8,-44.9384,8,-58.7862,8,-42.1865,8,-67.1344,8,-73.4408,8,-61.7992,8,-59.2613,8,-35.1723,8,-45.4901,8,-55.4037,8,-60.4521,8,-72.8857,8,-45.236
9,-52.7187,9,-55.3083,9,-42.9223,9,-65.5495,9,-65.0422,9,-56.5415,9,-61.9745,9,-73.6788,9,-65.832,9,-39.7406,9,-63.6476,9,-70.7245,9,-75.8749,9,-62.0327,9,-54.9574,9,-65.0948,9,-64.6085,9,-73.2145,9,-77.5163,9,-51.8927,9,-55.0182,9,-69.4256,9,-72.2141,9,-52.799,9,-39.1749,9,-58.3858,9,-57.2168,9,-60.3643,9,-66.9674,9,-77.9456,9,-44.5706,9,-64.4695,9,-71.7037,9,-63.0882,9,-69.2173,9,-59.4339,9,-56.2404,9,-54.1773,9,-75.4785,9,-68.2832,9,-64.0359,9,-80.0666,9,-46.5277,9,-49.8201,9,-62.2785,9,-51.4529,9,-71.0279,9,-71.7583,9,-64.1346,9,-63.1712,9,-75.0726,9,-60.529,9,-44.0558,9,-77.1817,9,-56.0583,9,-62.3811,9,-71.0481,9,-50.2438,9,-57.9004,9,-59.5062,9,-58.3654,9,-62.072,9,-67.0075,9,-51.6527,9,-54.5193,9,-55.7669,9,-60.4322,9,-77.5819,9,-52.5303,9,-48.945,9,-62.6507,9,-63.0343,9,-57.6576,9,-58.3563,9,-45.1114,9,-48.0463,9,-46.3937,9,-66.8721,9,-59.3074,9,-58.8292,9,-50.4137,9,-48.2953,9,-67.7489,9,-61.2228,9,-45.4363,9,-78.4744,9,-52.9316,9,-45.7015,9,-58.5836,9,-34.8564,9,-70.5156,9,-68.2472,9,-53.0617,9,-54.8679,9,-38.5306,9,-48.576,9,-55.7504,9,-54.2553,9,-73.8929,9,-45.4081
10,-51.6428,10,-52.2919,10,-54.6804,10,-63.913,10,-63.6138,10,-56.8989,10,-61.4365,10,-70.3163,10,-69.414,10,-38.0386,10,-59.2996,10,-68.0936,10,-80.2846,10,-61.8512,10,-47.1786,10,-68.9934,10,-60.6301,10,-83.5496,10,-68.5289,10,-52.2632,10,-60.494,10,-70.0836,10,-66.9528,10,-53.7798,10,-44.4785,10,-53.5639,10,-51.4213,10,-57.4667,10,-67.6919,10,-74.6787,10,-47.5177,10,-63.8783,10,-76.3334,10,-58.4057,10,-66.1476,10,-56.807,10,-51.2707,10,-52.9246,10,-72.8097,10,-68.0788,10,-65.1908,10,-85.8041,10,-45.9955,10,-50.7712,10,-57.6828,10,-52.9695,10,-56.7133,10,-68.8319,10,-60.3727,10,-61.4324,10,-75.5963,10,-62.1366,10,-46.7793,10,-76.2358,10,-63.2908,10,-50.836,10,-70.8221,10,-50.6264,10,-53.4049,10,-51.4413,10,-49.1465,10,-63.1632,10,-66.3069,10,-54.8858,10,-50.0913,10,-54.0924,10,-58.4116,10,-77.5874,10,-62.9472,10,-53.5131,10,-58.3253,10,-59.1373,10,-53.376,10,-62.407,10,-43.3287,10,-48.2099,10,-53.6608,10,-64.4195,10,-54.6264,10,-57.3551,10,-49.4222,10,-42.965,10,-65.2579,10,-54.7567,10,-49.0153,10,-87.2827,10,-51.2426,10,-46.8201,10,-59.0485,10,-33.9097,10,-67.4825,10,-61.7865,10,-47.3915,10,-52.7735,10,-42.3317,10,-52.5471,10,-53.1868,10,-50.2067,10,-77.4822,10,-47.8789
