1,-391.146,1,-464.4549,1,-363.262,1,-390.74,1,-405.9087,1,-320.8515,1,-433.092,1,-367.8979,1,-356.0863,1,-401.8069,1,-265.517,1,-284.9015,1,-236.8214,1,-145.3203,1,-193.1044,1,-222.7291,1,-159.6221,1,-185.4483,1,-156.2371,1,-163.9215,1,-137.7678,1,-162.5278,1,-236.6893,1,-118.9768,1,-219.6705,1,-156.0473,1,-264.8724,1,-1.8342,1,-46.8068,1,-31.6597,1,-8.2917,1,-101.1749,1,-64.0876,1,-56.9622,1,-118.9634,1,-53.0695,1,-96.3141,1,-181.1397,1,-104.3935,1,-110.6245,1,-241.6935,1,-218.619,1,-265.8454,1,-370.3778,1,-381.0549,1,-399.4792,1,-436.5177,1,-188.2428,1,-263.8384,1,-202.6945
2,-357.2585,2,-449.751,2,-350.8638,2,-397.5592,2,-415.8048,2,-309.5634,2,-411.8258,2,-354.1812,2,-348.9915,2,-390.1314,2,-264.6135,2,-264.6648,2,-229.4364,2,-179.1576,2,-215.2203,2,-217.9742,2,-144.214,2,-157.6395,2,-172.6398,2,-162.1918,2,-135.1559,2,-155.0832,2,-246.2211,2,-114.942,2,-205.101,2,-132.2231,2,-278.3215,2,18.4903,2,-18.653,2,-37.9826,2,-10.274,2,-83.3392,2,-78.8625,2,-74.4002,2,-110.9129,2,-33.3475,2,-107.4197,2,-154.2607,2,-117.7553,2,-115.478,2,-250.4504,2,-226.3446,2,-238.7634,2,-363.8867,2,-375.7893,2,-396.1032,2,-429.1269,2,-155.7942,2,-240.0459,2,-188.5819
3,-320.1489,3,-433.0491,3,-345.7706,3,-383.9245,3,-425.2965,3,-277.5985,3,-386.2899,3,-351.8559,3,-340.6269,3,-366.2535,3,-270.8848,3,-255.0442,3,-217.7922,3,-219.5965,3,-234.8436,3,-213.2659,3,-144.1364,3,-149.6301,3,-171.4503,3,-172.8705,3,-138.8537,3,-131.3785,3,-223.9075,3,-116.3651,3,-180.1023,3,-109.2498,3,-294.8529,3,24.4428,3,7.0063,3,-28.7383,3,14.0788,3,-90.6034,3,-104.8655,3,-78.1882,3,-112.2996,3,-34.4238,3,-99.1971,3,-141.1235,3,-117.8085,3,-123.1352,3,-250.1032,3,-228.0022,3,-225.0979,3,-362.0272,3,-387.0886,3,-418.2304,3,-395.7077,3,-141.1216,3,-209.3302,3,-201.6828
4,-297.418,4,-415.4212,4,-345.5964,4,-375.027,4,-422.9695,4,-260.1907,4,-362.5479,4,-349.9835,4,-320.2893,4,-339.7268,4,-268.7824,4,-257.0935,4,-211.57,4,-240.6844,4,-225.0774,4,-195.5601,4,-150.8991,4,-166.6934,4,-138.4945,4,-179.3214,4,-142.7074,4,-114.8026,4,-178.2525,4,-117.4698,4,-167.8288,4,-100.4668,4,-295.4003,4,13.4856,4,17.2358,4,-19.4645,4,40.9165,4,-100.2454,4,-119.461,4,-80.9123,4,-109.8114,4,-62.5817,4,-94.3322,4,-132.469,4,-105.1426,4,-109.916,4,-240.0403,4,-234.3383,4,-236.1399,4,-354.5062,4,-384.7501,4,-449.1592,4,-364.8024,4,-152.4153,4,-193.7073,4,-211.978
5,-279.4183,5,-393.7894,5,-329.1382,5,-379.7667,5,-424.0329,5,-263.3886,5,-351.8346,5,-341.6354,5,-301.9402,5,-317.7629,5,-256.1545,5,-265.041,5,-217.2937,5,-227.4475,5,-198.6446,5,-169.1608,5,-148.3291,5,-186.9976,5,-105.1672,5,-188.0214,5,-137.5253,5,-102.792,5,-134.2687,5,-121.3819,5,-178.0199,5,-106.3626,5,-276.9847,5,9.5234,5,9.6348,5,-19.7295,5,38.0843,5,-100.7075,5,-123.3905,5,-80.2985,5,-111.3091,5,-91.7913,5,-89.676,5,-122.8501,5,-96.2116,5,-110.3629,5,-231.2946,5,-240.7035,5,-260.6677,5,-340.9689,5,-359.3915,5,-470.8934,5,-360.7636,5,-182.7446,5,-197.5316,5,-192.5759
6,-256.8216,6,-374.5648,6,-294.4489,6,-377.9018,6,-417.2515,6,-278.8257,6,-341.1131,6,-333.6103,6,-300.6913,6,-294.5933,6,-246.4394,6,-272.8076,6,-230.8805,6,-203.9447,6,-176.5018,6,-167.7946,6,-147.7522,6,-201.4968,6,-98.4174,6,-187.4632,6,-141.5428,6,-99.8545,6,-121.8639,6,-136.9627,6,-197.5532,6,-118.5435,6,-257.4171,6,3.8434,6,-0.7176,6,-13.9146,6,27.8413,6,-71.9537,6,-123.1864,6,-72.408,6,-109.9871,6,-96.809,6,-101.2601,6,-122.2994,6,-92.4436,6,-118.0169,6,-218.625,6,-240.4117,6,-291.313,6,-343.9091,6,-327.0429,6,-469.9711,6,-379.1339,6,-203.2299,6,-203.8238,6,-179.7106
7,-241.1877,7,-375.2087,7,-275.3503,7,-375.6858,7,-388.8927,7,-299.4835,7,-330.0276,7,-321.373,7,-311.6987,7,-273.8148,7,-252.6601,7,-268.2794,7,-252.9991,7,-196.9884,7,-167.5595,7,-195.6978,7,-156.7014,7,-208.8305,7,-105.0374,7,-164.2001,7,-142.8514,7,-118.4442,7,-119.4122,7,-173.8413,7,-214.0153,7,-128.9847,7,-261.7786,7,-12.0796,7,-0.1969,7,2.0586,7,1.165,7,-37.6817,7,-110.732,7,-71.0103,7,-100.2098,7,-112.717,7,-120.1268,7,-135.2197,7,-81.7492,7,-134.4147,7,-223.376,7,-238.2507,7,-316.4092,7,-358.6655,7,-318.7267,7,-464.9303,7,-388.5038,7,-191.9846,7,-224.8224,7,-167.5135
8,-246.5169,8,-385.6463,8,-282.5259,8,-363.0646,8,-354.063,8,-303.3323,8,-333.2293,8,-320.4834,8,-307.6465,8,-262.5745,8,-265.3865,8,-249.1681,8,-255.21,8,-220.0679,8,-168.845,8,-222.7999,8,-169.947,8,-200.7617,8,-110.2946,8,-154.3777,8,-143.8257,8,-149.2644,8,-92.8145,8,-190.6515,8,-201.4422,8,-136.3869,8,-266.5962,8,-36.6506,8,20.7564,8,9.1905,8,-12.1735,8,-6.5947,8,-88.2318,8,-73.7877,8,-98.3344,8,-123.3058,8,-140.9048,8,-156.6453,8,-65.4408,8,-153.2145,8,-246.5306,8,-230.6683,8,-326.8899,8,-375.3753,8,-332.3403,8,-465.0794,8,-394.5154,8,-169.1609,8,-263.6572,8,-165.5556
9,-277.6921,9,-399.5401,9,-313.325,9,-372.1227,9,-338.1444,9,-288.5304,9,-364.2125,9,-347.4675,9,-297.5072,9,-262.9378,9,-252.84,9,-230.0254,9,-243.938,9,-251.5765,9,-174.5922,9,-230.3838,9,-168.7151,9,-189.4605,9,-114.7403,9,-173.6412,9,-157.9668,9,-174.3573,9,-69.0802,9,-187.6377,9,-173.1927,9,-135.7692,9,-273.6024,9,-63.4936,9,58.0253,9,0.4353,9,-15.9226,9,1.0626,9,-69.6168,9,-71.6156,9,-103.307,9,-108.0031,9,-155.6121,9,-172.8556,9,-56.9551,9,-155.8222,9,-272.044,9,-236.4218,9,-321.8456,9,-375.0444,9,-360.5736,9,-475.3508,9,-392.4247,9,-142.7982,9,-303.7973,9,-175.6653
10,-317.7462,10,-402.2041,10,-343.1556,10,-392.1308,10,-356.4913,10,-254.451,10,-398.2389,10,-367.8692,10,-308.0783,10,-283.7442,10,-209.3698,10,-219.8774,10,-220.3382,10,-259.7781,10,-181.7531,10,-236.61,10,-155.4805,10,-177.0564,10,-103.6886,10,-196.7953,10,-187.8917,10,-200.1087,10,-71.086,10,-191.8814,10,-150.1327,10,-123.7805,10,-284.507,10,-72.9697,10,79.5949,10,-11.6609,10,-5.492,10,-21.6255,10,-45.6944,10,-72.3906,10,-101.6828,10,-94.7851,10,-153.4289,10,-173.1028,10,-68.4739,10,-145.5648,10,-285.4228,10,-260.1113,10,-314.3807,10,-363.6299,10,-381.6572,10,-469.3995,10,-376.4481,10,-134.1304,10,-316.1033,10,-197.5297
